,id,first_name,last_name,State,Product,nrx1,nrx2,nrx3,nrx4,nrx5,nrx6,trx1,trx2,trx3,trx4,trx5,trx6,nrx_slope,nrx_intercept,nrx_mean,trx_slope,trx_intercept,trx_mean
14,15,Sonni,Gogan,Alabama,Cholecap,7,11,9,1,1,4,176,14,52,125,141,196,-1.514285714,10.8,5.5,15.82857143,61.93333333,117.3333333
15,16,Adrea,Stockall,New York,Cholecap,16,8,2,17,4,2,18,65,160,145,13,191,-1.914285714,14.86666667,8.166666667,19.82857143,29.26666667,98.66666667
16,17,Liliane,Raff,South Carolina,Cholecap,9,13,14,19,16,3,168,140,117,194,167,185,-0.457142857,13.93333333,12.33333333,6.942857143,137.5333333,161.8333333
17,18,Tommie,Siemantel,Arkansas,Cholecap,19,11,18,11,11,19,186,54,76,31,54,19,-0.2,15.53333333,14.83333333,-25.14285714,158,70
18,19,George,Perrett,Ohio,Cholecap,20,0,11,1,7,19,45,14,125,94,27,23,0.171428571,9.066666667,9.666666667,-2.914285714,64.86666667,54.66666667
19,20,Tomasine,Birdall,Kansas,Cholecap,16,1,18,13,20,12,59,195,86,86,103,48,0.914285714,10.13333333,13.33333333,-9.457142857,129.2666667,96.16666667
20,21,Annalise,Dugood,Ohio,Cholecap,7,12,7,3,1,8,180,159,188,31,176,108,-0.914285714,9.533333333,6.333333333,-13.31428571,186.9333333,140.3333333
21,22,Harlan,Rodson,Washington,Cholecap,10,7,6,19,7,4,10,78,167,109,63,51,-0.485714286,10.53333333,8.833333333,2.914285714,69.46666667,79.66666667
22,23,Richmound,Willshire,District of Columbia,Cholecap,5,1,1,12,11,14,168,177,86,98,122,51,2.457142857,-1.266666667,7.333333333,-21.08571429,190.8,117
23,24,Reynold,Blaszczyk,Texas,Cholecap,7,16,3,7,3,1,7,51,164,154,99,165,-1.857142857,12.66666667,6.166666667,26.4,14.26666667,106.6666667
24,25,Craggy,Reaveley,Texas,Cholecap,7,12,12,18,7,5,31,186,149,114,140,183,-0.542857143,12.06666667,10.16666667,16.77142857,75.13333333,133.8333333
25,26,Lotti,O'Shee,District of Columbia,Cholecap,4,2,2,20,15,2,166,191,8,25,29,42,1.342857143,2.8,7.5,-31.11428571,185.7333333,76.83333333
26,27,Marv,Brennand,Ohio,Cholecap,19,11,3,20,12,13,156,55,197,91,54,107,-0.285714286,14,13,-10.11428571,145.4,110
27,28,Ignace,Kitchener,New York,Cholecap,14,12,14,1,4,4,48,168,117,45,186,114,-2.485714286,16.86666667,8.166666667,8.914285714,81.8,113
28,29,Xever,Percival,Illinois,Cholecap,17,12,16,0,8,3,44,62,35,139,168,179,-2.8,19.13333333,9.333333333,31.34285714,-5.2,104.5
29,30,Aryn,Durdle,Colorado,Cholecap,7,5,11,6,18,9,94,43,147,75,44,188,1.257142857,4.933333333,9.333333333,11.45714286,58.4,98.5
30,31,Lauree,Fomichkin,Colorado,Cholecap,13,18,12,3,7,8,37,83,26,184,80,62,-1.914285714,16.86666667,10.16666667,7.828571429,51.26666667,78.66666667
31,32,Grazia,Wrightam,California,Cholecap,4,11,20,19,7,11,196,112,77,93,65,56,0.628571429,9.8,12,-23.57142857,182.3333333,99.83333333
32,33,Clarissa,Sadat,Mississippi,Cholecap,13,20,14,11,2,0,82,22,44,47,28,126,-3.485714286,22.2,10,6.885714286,34.06666667,58.16666667
33,34,Ashlen,Paolazzi,Virginia,Cholecap,8,4,11,17,12,19,69,121,125,107,184,144,2.428571429,3.333333333,11.83333333,15.6,70.4,125
34,35,Elsie,Strangeway,Texas,Cholecap,17,17,7,12,2,13,138,138,50,51,119,29,-1.714285714,17.33333333,11.33333333,-17.17142857,147.6,87.5
35,36,Claudianus,Cabbell,Ohio,Cholecap,8,14,16,4,1,15,192,129,158,141,176,127,-0.457142857,11.26666667,9.666666667,-5.742857143,173.9333333,153.8333333
36,37,Zorina,Joincey,New York,Cholecap,9,9,10,13,16,15,16,173,143,96,60,75,1.542857143,6.6,12,-2.6,102.9333333,93.83333333
37,38,Nilson,Charlson,Tennessee,Cholecap,4,17,10,6,7,12,43,76,109,18,10,12,0.171428571,8.733333333,9.333333333,-12.68571429,89.06666667,44.66666667
38,39,Allina,Oldfield,Texas,Cholecap,18,11,7,19,10,18,169,143,64,44,54,108,0.257142857,12.93333333,13.83333333,-16.91428571,156.2,97
39,40,Zachary,Letteresse,Arizona,Cholecap,15,10,15,15,4,18,94,25,103,57,194,193,-0.085714286,13.13333333,12.83333333,27.31428571,15.4,111
40,41,Maris,Le Barre,New Jersey,Cholecap,11,6,0,16,12,11,169,87,99,180,128,181,0.971428571,5.933333333,9.333333333,7.542857143,114.2666667,140.6666667
41,42,Ludovico,Kilroy,South Dakota,Cholecap,20,5,5,3,20,9,32,32,27,28,146,107,-0.342857143,11.53333333,10.33333333,20.51428571,-9.8,62
42,43,Tedman,Weldon,Missouri,Cholecap,20,15,17,20,8,1,24,102,29,135,112,41,-3.228571429,24.8,13.5,6.314285714,51.73333333,73.83333333
43,44,Asia,Danilyak,Pennsylvania,Cholecap,7,16,16,3,9,4,79,58,157,40,102,59,-1.4,14.06666667,9.166666667,-2.428571429,91,82.5
44,45,Corette,Buchanan,Missouri,Cholecap,4,4,13,0,8,15,39,51,47,79,72,78,1.542857143,1.933333333,7.333333333,8.285714286,32,61
45,46,Chico,Ritmeier,Georgia,Cholecap,7,4,5,6,15,6,165,186,109,123,197,32,0.828571429,4.266666667,7.166666667,-17.65714286,197.1333333,135.3333333
46,47,Lynde,O'Cullinane,Texas,Cholecap,6,13,12,3,14,1,109,182,89,144,94,133,-0.885714286,11.26666667,8.166666667,-2.542857143,134.0666667,125.1666667
47,48,Vivia,Redborn,District of Columbia,Cholecap,6,4,3,2,6,5,84,119,44,113,77,14,-9.31E-17,4.333333333,4.333333333,-11.62857143,115.8666667,75.16666667
48,49,Gene,Pollard,Indiana,Cholecap,17,14,18,14,1,20,145,185,167,20,80,27,-0.8,16.8,14,-30.05714286,209.2,104
49,50,Monti,Trett,Alabama,Cholecap,6,19,1,15,19,20,142,135,167,182,26,108,2.4,4.933333333,13.33333333,-13.77142857,174.8666667,126.6666667
50,51,Andie,Gymlett,Massachusetts,Cholecap,18,5,4,3,15,20,83,16,130,151,75,28,1.114285714,6.933333333,10.83333333,-2.2,88.2,80.5
51,52,Maia,Spriggin,California,Cholecap,2,5,6,7,17,5,157,67,60,38,70,138,1.485714286,1.8,7,-3.085714286,99.13333333,88.33333333
52,53,Aleece,Holburn,District of Columbia,Cholecap,14,6,4,16,3,1,91,141,109,156,41,33,-1.771428571,13.53333333,7.333333333,-15.51428571,149.4666667,95.16666667
53,54,Aila,Tonna,Alabama,Cholecap,6,16,0,16,4,3,14,16,116,164,31,139,-1,11,7.5,20.51428571,8.2,80
54,55,Vivianna,Mordin,Missouri,Cholecap,16,17,4,18,0,13,48,93,105,18,54,140,-1.485714286,16.53333333,11.33333333,7.314285714,50.73333333,76.33333333
55,56,Carrie,Astbury,Massachusetts,Cholecap,9,17,2,4,8,17,14,44,96,74,184,34,0.428571429,8,9.5,14.22857143,24.53333333,74.33333333
56,57,Mommy,Grigoliis,California,Cholecap,18,3,1,10,17,2,51,149,41,72,185,5,-0.828571429,11.4,8.5,-2.6,92.93333333,83.83333333
57,58,Minor,Tattershall,Texas,Cholecap,9,2,9,17,6,10,79,37,112,154,99,71,0.714285714,6.333333333,8.833333333,5.371428571,73.2,92
58,59,Ade,Ballay,Massachusetts,Cholecap,19,13,2,7,7,4,154,20,135,52,183,130,-2.514285714,17.46666667,8.666666667,8.171428571,83.73333333,112.3333333
59,60,Shannah,Giovannelli,Connecticut,Cholecap,11,12,15,5,5,12,20,59,175,52,107,119,-0.742857143,12.6,10,14.74285714,37.06666667,88.66666667
60,61,Tirrell,Fritchley,Arizona,Cholecap,10,4,10,6,15,15,60,90,59,32,71,133,1.542857143,4.6,10,8.028571429,46.06666667,74.16666667
61,62,Nancee,Cane,Virginia,Cholecap,7,15,6,8,14,11,143,16,113,34,21,92,0.542857143,8.266666667,10.16666667,-9.114285714,101.7333333,69.83333333
62,63,Elizabet,Dunster,Louisiana,Cholecap,14,18,2,4,6,0,157,88,21,93,24,72,-2.971428571,17.73333333,7.333333333,-15.57142857,130.3333333,75.83333333
63,64,Susannah,Nares,Georgia,Cholecap,15,14,3,15,12,20,184,94,19,86,12,122,0.885714286,10.06666667,13.16666667,-13.97142857,135.0666667,86.16666667
64,65,Veradis,Letteresse,Utah,Cholecap,5,1,20,14,11,9,7,139,67,30,170,134,1.257142857,5.6,10,19.74285714,22.06666667,91.16666667
65,66,Sonnie,Coots,Nevada,Cholecap,16,9,1,9,16,7,157,42,54,170,94,111,-0.457142857,11.26666667,9.666666667,1.2,100.4666667,104.6666667
66,67,Corabella,De Souza,California,Cholecap,12,10,9,17,20,7,91,46,145,182,76,82,0.371428571,11.2,12.5,2.342857143,95.46666667,103.6666667
67,68,Kristin,Camplen,Utah,Cholecap,6,13,16,13,3,8,109,81,91,24,154,163,-0.657142857,12.13333333,9.833333333,12.05714286,61.46666667,103.6666667
68,69,Lucius,Lorenzetto,Illinois,Cholecap,14,9,4,9,2,8,56,14,143,178,165,152,-1.314285714,12.26666667,7.666666667,27.65714286,21.2,118
69,70,Ernie,Jakaway,California,Cholecap,5,3,10,1,19,6,109,182,98,108,149,66,1.257142857,2.933333333,7.333333333,-8.685714286,149.0666667,118.6666667
70,71,Rosy,Bubbings,Texas,Cholecap,8,11,9,9,20,1,155,65,51,81,137,48,-0.228571429,10.46666667,9.666666667,-8.257142857,118.4,89.5
71,72,Kelcey,McGrory,California,Cholecap,12,19,9,8,18,2,119,178,21,80,46,79,-1.542857143,16.73333333,11.33333333,-15.34285714,140.8666667,87.16666667
72,73,Lexine,Durden,California,Cholecap,20,19,14,11,20,15,134,85,112,133,36,106,-0.714285714,19,16.5,-7.6,127.6,101
73,74,Toiboid,Ellett,New York,Cholecap,13,6,7,5,3,15,79,166,128,40,15,57,-0.028571429,8.266666667,8.166666667,-18.6,145.9333333,80.83333333
74,75,Tris,Earl,Montana,Cholecap,10,7,15,7,16,5,103,179,114,151,168,146,-0.171428571,10.6,10,6.257142857,121.6,143.5
75,76,Eldin,Mossbee,Nevada,Cholecap,15,13,6,0,4,8,93,171,35,108,68,166,-1.942857143,14.46666667,7.666666667,3.685714286,93.93333333,106.8333333
76,77,Daisy,Luno,Pennsylvania,Cholecap,5,3,3,16,9,16,39,187,4,180,83,106,2.457142857,0.066666667,8.666666667,5.685714286,79.93333333,99.83333333
77,78,Silvie,Gurdon,Colorado,Cholecap,7,11,9,20,20,17,51,191,30,37,29,31,2.514285714,5.2,14,-16.54285714,119.4,61.5
78,79,Toma,Dewhurst,Texas,Cholecap,5,14,1,16,8,8,74,199,184,32,161,13,0.342857143,7.466666667,8.666666667,-16.31428571,167.6,110.5
79,80,Tabatha,Manton,Hawaii,Cholecap,3,6,14,3,15,12,41,182,61,77,180,67,1.742857143,2.733333333,8.833333333,4,87.33333333,101.3333333
80,81,Pearle,Peatheyjohns,Ohio,Cholecap,16,0,0,13,2,6,125,36,135,99,35,107,-0.885714286,9.266666667,6.166666667,-3.685714286,102.4,89.5
81,82,Cati,de Almeida,Oklahoma,Cholecap,7,20,20,5,6,2,121,78,28,69,39,200,-2.342857143,18.2,10,9.114285714,57.26666667,89.16666667
82,83,Jourdain,Chalke,Florida,Cholecap,12,11,7,12,17,15,63,94,12,179,96,73,1.085714286,8.533333333,12.33333333,6.371428571,63.86666667,86.16666667
83,84,Cornelle,Venney,New York,Cholecap,12,5,4,7,12,9,72,129,102,199,172,112,0.257142857,7.266666667,8.166666667,12.17142857,88.4,131
84,85,Midge,Balden,Iowa,Cholecap,16,16,19,12,11,13,194,156,135,136,159,119,-1.057142857,18.2,14.5,-10.42857143,186.3333333,149.8333333
85,86,Jacquenette,Konzelmann,Colorado,Cholecap,19,5,2,4,3,6,184,147,161,123,17,121,-1.971428571,13.4,6.5,-21.22857143,199.8,125.5
86,87,Glenda,Lubeck,Texas,Cholecap,8,10,1,9,15,7,192,163,197,51,21,20,0.514285714,6.533333333,8.333333333,-40.91428571,250.5333333,107.3333333
87,88,Salvatore,Hyde-Chambers,Massachusetts,Cholecap,12,2,17,7,2,6,25,35,63,196,31,101,-1.142857143,11.66666667,7.666666667,14.31428571,25.06666667,75.16666667
88,89,Barnebas,Bladesmith,Texas,Cholecap,6,1,12,2,0,18,84,156,39,85,114,21,1.342857143,1.8,6.5,-11.28571429,122.6666667,83.16666667
89,90,Ludvig,Gotliffe,Michigan,Cholecap,0,20,16,3,17,4,1,43,126,178,146,11,-0.057142857,10.2,10,11.74285714,43.06666667,84.16666667
90,91,Otis,McBayne,Florida,Cholecap,2,16,17,0,1,7,141,166,22,194,129,128,-1.057142857,10.86666667,7.166666667,-0.114285714,130.4,130
91,92,Larissa,Gjerde,Texas,Cholecap,14,0,2,18,2,14,110,99,28,45,84,120,0.628571429,6.133333333,8.333333333,0.628571429,78.8,81
92,93,Christian,Sturgess,Texas,Cholecap,10,18,6,19,15,17,113,106,161,60,189,177,1.114285714,10.26666667,14.16666667,13.37142857,87.53333333,134.3333333
93,94,Martita,Bleackley,Wisconsin,Cholecap,9,16,2,6,20,3,16,156,171,13,98,17,-0.4,10.73333333,9.333333333,-9.342857143,111.2,78.5
94,95,Haleigh,Cuncliffe,Virginia,Cholecap,17,15,13,4,8,11,84,77,148,83,61,103,-1.714285714,17.33333333,11.33333333,-0.514285714,94.46666667,92.66666667
95,96,Kandace,Hartwell,Massachusetts,Cholecap,11,18,20,7,15,18,198,159,23,33,128,149,0.371428571,13.53333333,14.83333333,-9.371428571,147.8,115
96,97,Ebba,Fagge,Mississippi,Cholecap,3,8,9,12,3,10,115,181,138,91,141,179,0.657142857,5.2,7.5,4.371428571,125.5333333,140.8333333
97,98,Codee,Sanpher,Colorado,Cholecap,2,12,9,12,17,15,95,119,76,15,62,42,2.371428571,2.866666667,11.16666667,-14.2,117.8666667,68.16666667
98,99,Daveta,Jurgen,District of Columbia,Cholecap,10,14,12,0,9,17,128,70,181,43,16,163,0.228571429,9.533333333,10.33333333,-3.571428571,112.6666667,100.1666667
99,100,Haleigh,Railton,Alaska,Cholecap,9,8,7,4,4,19,165,156,108,30,90,66,1,5,8.5,-22.02857143,179.6,102.5
100,101,Roxine,Zettler,Arizona,Cholecap,2,12,18,11,2,0,136,91,94,137,119,52,-1.342857143,12.2,7.5,-8.371428571,134.1333333,104.8333333
101,102,Morena,Tredgold,Illinois,Cholecap,6,19,5,3,0,12,181,130,192,79,160,105,-0.828571429,10.4,7.5,-11.51428571,181.4666667,141.1666667
102,103,Davy,Gameson,Connecticut,Cholecap,13,5,20,13,16,12,31,184,43,103,181,157,0.6,11.06666667,13.16666667,19.45714286,48.4,116.5
103,104,Albertina,Dudek,District of Columbia,Cholecap,14,12,18,2,18,3,26,101,199,132,26,74,-1.514285714,16.46666667,11.16666667,-1.485714286,98.2,93
104,105,Halette,Muller,Massachusetts,Cholecap,18,2,17,12,2,6,37,106,125,147,3,69,-1.857142857,16,9.5,-3.628571429,93.86666667,81.16666667
105,106,Giana,Dykas,Ohio,Cholecap,6,19,4,6,19,14,39,27,88,48,23,94,1.2,7.133333333,11.33333333,6.371428571,30.86666667,53.16666667
106,107,Bryan,O'Donohue,California,Cholecap,11,18,10,2,2,10,40,60,17,112,180,48,-1.742857143,14.93333333,8.833333333,14.14285714,26.66666667,76.16666667
107,108,Allistir,Cutting,Tennessee,Cholecap,19,3,1,14,13,0,172,75,185,161,165,183,-1.485714286,13.53333333,8.333333333,8.6,126.7333333,156.8333333
108,109,Reginald,Coutts,California,Cholecap,20,7,10,14,19,1,66,12,98,80,96,59,-1.571428571,17.33333333,11.83333333,5.685714286,48.6,68.5
109,110,Hattie,Flury,Michigan,Cholecap,7,2,17,7,18,4,152,151,29,101,25,176,0.657142857,6.866666667,9.166666667,-5.314285714,124.2666667,105.6666667
110,111,Elias,Clericoates,Ohio,Cholecap,17,4,3,6,18,0,166,38,137,179,194,102,-1.142857143,12,8,5.428571429,117,136
111,112,Mariellen,Derisly,Texas,Cholecap,10,6,10,7,14,13,64,24,92,53,196,145,1.028571429,6.4,10,25.2,7.466666667,95.66666667
112,113,Aila,Amyes,Washington,Cholecap,14,19,5,20,7,16,183,77,68,124,49,117,-0.314285714,14.6,13.5,-10.22857143,138.8,103
113,114,Vladimir,Zelland,Washington,Cholecap,4,6,2,1,0,14,146,115,57,172,187,64,0.885714286,1.4,4.5,-2.257142857,131.4,123.5
114,115,Rebekkah,Klimus,Texas,Cholecap,4,2,14,18,17,1,39,37,114,63,80,98,0.971428571,5.933333333,9.333333333,10.65714286,34.53333333,71.83333333
115,116,Petey,Jindrich,Florida,Cholecap,10,19,7,4,20,16,199,89,91,194,147,136,0.857142857,9.666666667,12.66666667,-1.085714286,146.4666667,142.6666667
116,117,Desiri,Warrilow,Texas,Cholecap,18,20,17,18,14,17,150,87,30,152,76,152,-0.628571429,19.53333333,17.33333333,2.828571429,97.93333333,107.8333333
117,118,Kendre,De Bruin,Wisconsin,Cholecap,6,14,12,7,3,5,155,98,120,110,18,150,-1.228571429,12.13333333,7.833333333,-7.857142857,136,108.5
118,119,Creighton,Castellone,Florida,Cholecap,2,10,12,2,17,1,122,165,149,50,37,194,0.171428571,6.733333333,7.333333333,-3.514285714,131.8,119.5
119,120,Sonya,Gownge,Texas,Cholecap,15,15,14,6,5,17,187,180,24,158,133,87,-0.8,14.8,12,-14.48571429,178.8666667,128.1666667
120,121,Donn,Riddall,New York,Cholecap,20,18,3,11,11,13,124,28,183,46,193,18,-1.371428571,17.46666667,12.66666667,-4.914285714,115.8666667,98.66666667
121,122,Idalina,Hlavecek,Washington,Cholecap,15,0,8,14,4,6,193,64,22,28,4,140,-0.771428571,10.53333333,7.833333333,-12.54285714,119.0666667,75.16666667
122,123,Brewster,Constance,North Carolina,Cholecap,13,19,20,12,13,10,32,159,104,50,13,101,-1.171428571,18.6,14.5,-4.2,91.2,76.5
123,124,Hazel,Hedderly,Florida,Cholecap,4,17,13,6,13,4,46,85,163,11,170,199,-0.542857143,11.4,9.5,24.8,25.53333333,112.3333333
124,125,Bidget,Ramel,West Virginia,Cholecap,10,9,0,3,3,7,186,184,126,57,190,11,-0.857142857,8.333333333,5.333333333,-26.45714286,218.2666667,125.6666667
125,126,Franny,Frazier,Missouri,Cholecap,13,20,8,5,8,20,62,145,79,159,178,87,-0.114285714,12.73333333,12.33333333,8.685714286,87.93333333,118.3333333
126,127,Lizette,Quernel,District of Columbia,Cholecap,12,9,14,18,4,2,38,93,116,157,192,112,-1.742857143,15.93333333,9.833333333,20.22857143,47.2,118
127,128,Alina,Pogg,Virginia,Cholecap,4,19,7,9,15,19,138,81,39,116,87,193,1.857142857,5.666666667,12.16666667,10.57142857,72,109
128,129,Austin,Foulds,California,Cholecap,18,6,9,12,5,5,35,170,100,33,85,32,-1.857142857,15.66666667,9.166666667,-9.628571429,109.5333333,75.83333333
129,130,Norry,Forsyde,North Carolina,Cholecap,20,11,6,15,0,10,68,45,114,28,191,132,-2.114285714,17.73333333,10.33333333,19.2,29.13333333,96.33333333
130,131,Karyn,Bolsover,Texas,Cholecap,3,15,14,12,11,11,173,44,162,59,91,16,0.742857143,8.4,11,-21.34285714,165.5333333,90.83333333
131,132,Maynard,Caplen,Texas,Cholecap,15,9,16,13,15,5,186,168,58,138,193,6,-1,15.66666667,12.16666667,-21.28571429,199.3333333,124.8333333
132,133,Chiquia,Warham,Illinois,Cholecap,17,12,15,15,10,18,130,81,118,161,141,19,-0.028571429,14.6,14.5,-9.485714286,141.5333333,108.3333333
133,134,Selena,Girauld,Massachusetts,Cholecap,1,15,18,9,3,11,38,86,186,193,184,40,0.142857143,9,9.5,8.885714286,90.06666667,121.1666667
134,135,Melina,Boggis,Missouri,Cholecap,16,14,19,15,16,12,22,34,28,189,27,139,-0.514285714,17.13333333,15.33333333,20.71428571,0.666666667,73.16666667
135,136,Karrah,Bradane,Alabama,Cholecap,6,8,0,7,1,18,29,65,195,116,6,74,1.314285714,2.066666667,6.666666667,-0.885714286,83.93333333,80.83333333
136,137,Eleanor,Teresia,Massachusetts,Cholecap,19,5,17,14,13,13,145,92,194,125,83,190,-0.257142857,14.4,13.5,3.685714286,125.2666667,138.1666667
137,138,Madge,Cregan,Colorado,Cholecap,5,4,9,4,20,6,83,37,50,119,143,189,1.371428571,3.2,8,26.2,11.8,103.5
138,139,Walden,Palliser,Alaska,Cholecap,0,20,9,0,3,2,111,116,76,164,92,3,-1.428571429,10.66666667,5.666666667,-14.97142857,146.0666667,93.66666667
139,140,Leonore,Winckworth,Florida,Cholecap,10,9,6,14,1,0,15,81,46,121,45,69,-1.885714286,13.26666667,6.666666667,6.771428571,39.13333333,62.83333333
140,141,Monika,Pleat,South Carolina,Cholecap,5,16,10,15,5,0,16,152,14,164,76,109,-1.514285714,13.8,8.5,11.05714286,49.8,88.5
141,142,Lucina,Wenden,Iowa,Cholecap,11,19,4,1,0,16,83,157,117,93,126,115,-1,12,8.5,1.228571429,110.8666667,115.1666667
142,143,Carlie,McWhirter,North Carolina,Cholecap,0,1,0,9,11,12,78,49,87,79,130,22,2.828571429,-4.4,5.5,-1.285714286,78.66666667,74.16666667
143,144,Vicki,Bartell,Florida,Cholecap,16,12,13,6,10,11,16,134,94,78,16,70,-1.085714286,15.13333333,11.33333333,-2.857142857,78,68
144,145,Marcos,Felix,Georgia,Cholecap,2,0,16,17,3,15,104,6,161,116,6,187,2.142857143,1.333333333,8.833333333,10.57142857,59.66666667,96.66666667
145,146,Tamiko,O'Hagerty,Louisiana,Cholecap,13,8,16,2,5,19,13,110,144,69,171,167,0.2,9.8,10.5,25.08571429,24.53333333,112.3333333
146,147,Brand,Noden,Indiana,Cholecap,17,3,16,6,15,2,116,85,57,84,200,16,-1.4,14.73333333,9.833333333,-3.657142857,105.8,93
147,148,Wenonah,Campsall,Texas,Cholecap,20,16,15,16,2,8,96,89,24,73,9,191,-2.885714286,22.93333333,12.83333333,8.114285714,51.93333333,80.33333333
148,149,Shell,August,Pennsylvania,Cholecap,14,12,2,17,7,7,31,36,40,193,57,111,-1,13.33333333,9.833333333,17.6,16.4,78
149,150,Kelcey,Sackey,Florida,Cholecap,2,20,13,13,6,17,137,73,40,88,186,52,0.942857143,8.533333333,11.83333333,-1.085714286,99.8,96
150,151,Salomon,De Witt,Maryland,Cholecap,13,2,12,3,0,15,126,84,16,135,45,39,-0.142857143,8,7.5,-12.37142857,117.4666667,74.16666667
151,152,Johna,Esseby,Georgia,Cholecap,9,8,14,2,14,5,80,117,102,103,31,93,-0.4,10.06666667,8.666666667,-5.485714286,106.8666667,87.66666667
152,153,Franzen,Kubasiewicz,Wisconsin,Cholecap,9,2,3,14,13,11,86,92,144,153,128,116,1.542857143,3.266666667,8.666666667,7.628571429,93.13333333,119.8333333
153,154,Elspeth,Tour,Tennessee,Cholecap,3,18,19,12,10,5,192,62,66,171,147,8,-0.6,13.26666667,11.16666667,-16,163.6666667,107.6666667
154,155,Virginie,Sager,California,Cholecap,16,5,13,1,11,4,171,176,178,155,81,146,-1.542857143,13.73333333,8.333333333,-12.37142857,194.4666667,151.1666667
155,156,Emalia,Frosdick,Illinois,Cholecap,7,19,19,0,13,7,57,123,105,66,107,195,-1.057142857,14.53333333,10.83333333,17.22857143,48.53333333,108.8333333
156,157,Jeremias,Stotherfield,Florida,Cholecap,0,3,3,7,14,2,15,118,10,113,112,136,1.342857143,0.133333333,4.833333333,19.71428571,15,84
157,158,Freeland,Jenkins,Texas,Cholecap,8,3,9,14,5,7,55,180,30,56,30,173,0.171428571,7.066666667,7.666666667,4.742857143,70.73333333,87.33333333
158,159,Blakelee,Annandale,Ohio,Cholecap,7,16,14,5,4,17,171,26,16,156,81,161,0.142857143,10,10.5,7.285714286,76.33333333,101.8333333
159,160,Sherwood,Antliff,Oregon,Cholecap,16,19,10,4,19,0,71,96,167,26,131,61,-2.457142857,19.93333333,11.33333333,-2.457142857,100.6,92
160,161,Sile,Nanelli,Alaska,Cholecap,7,1,17,6,20,3,190,36,157,186,145,33,0.742857143,6.4,9,-12.25714286,167.4,124.5
161,162,Zilvia,O'Teague,California,Cholecap,17,20,19,20,7,19,191,192,70,25,12,34,-0.8,19.8,17,-39.14285714,224.3333333,87.33333333
162,163,Gipsy,Petry,Georgia,Cholecap,0,14,6,1,3,2,170,82,41,159,174,117,-0.8,7.133333333,4.333333333,3.685714286,110.9333333,123.8333333
163,164,Budd,Bozworth,California,Cholecap,0,15,0,14,12,16,78,194,25,185,96,97,2.428571429,1,9.5,-1.114285714,116.4,112.5
164,165,Lettie,Vedekhin,Wisconsin,Cholecap,1,14,3,3,3,7,147,79,184,169,144,132,-0.085714286,5.466666667,5.166666667,3,132,142.5
165,166,Loise,Dressell,Hawaii,Cholecap,2,11,1,8,7,12,29,197,64,62,15,162,1.285714286,2.333333333,6.833333333,3.342857143,76.46666667,88.16666667
166,167,Marketa,Keddle,Wisconsin,Cholecap,7,13,14,13,17,17,181,171,80,165,175,72,1.742857143,7.4,13.5,-12.8,185.4666667,140.6666667
